n,m,behaviourU,otherU,behaviourTime,otherTime
4,28,0.2937738993413618,0.2901269947540852,1.08,539.25
4,29,0.2953882012065835,-0.05706454098386722,1.2,140.74
4,30,0.2975551372140728,-0.041174085847089835,1.49,248.61
4,31,0.29699989465181675,-0.02689154548918776,1.47,388.41
4,32,0.301748354296463,0.29629376868257234,1.58,950.76
4,33,0.29976061013557,-0.05327698655203367,1.86,246.69
4,34,0.2991899428610092,-0.0504452833622657,2.04,412.46
4,35,0.30113210200762774,-0.019858644230902726,2.25,694.82
4,36,0.2948000720976385,0.28946351601337866,2.32,1605.22
4,37,0.2988225255344544,-0.05570663175238494,2.49,423.18
4,38,0.2968059907309538,-0.04497112291637923,2.62,635.54
4,39,0.2954144805002053,-0.013655142152895046,3.0,1215.56
4,40,0.30130157282967684,0.2955236106471734,3.32,2659.14
5,10,0.304547406549112,0.3022914356265905,0.07,5.47
5,11,0.32945361889416525,-0.05141405243736691,0.02,3.33
5,12,0.32000539651753834,-0.06951498945624493,0.13,4.72
5,13,0.31817552445963154,-0.05705698341382993,0.14,7.69
5,14,0.3142094377558235,-0.044432738483983346,0.1,13.09
5,15,0.3118937386110124,0.3107802337231074,0.2,30.0
5,16,0.32241162016597275,-0.053091562285507876,0.19,11.63
5,17,0.32631692223742326,-0.050103227434226134,0.24,19.48
5,18,0.3214498738689069,-0.04932253023160056,0.21,29.86
5,19,0.3160910870392727,-0.02507970244065243,0.26,49.34
5,20,0.31527572621651456,0.31470060108435194,0.35,104.18
5,21,0.3261515346198845,-0.05080395472696294,0.4,37.93
5,22,0.3224778660339262,-0.046311231099534604,0.49,53.72
5,23,0.32052642311107016,-0.05377932735356101,0.56,85.57
5,24,0.3191486826293533,-0.013216554353605912,0.64,143.07
5,25,0.31974213104753546,0.31926808737477996,0.73,317.21
5,26,0.3233367806924026,-0.053746490761303604,0.62,90.37
5,27,0.3272179175013742,-0.04939124319532603,0.83,131.16
5,28,0.32327178553237734,-0.04814798624313662,0.9,203.04
5,29,0.3186081611514662,-0.027189185614050544,0.97,344.17
5,30,0.3179350635176607,0.3193787898512521,1.05,751.44
5,31,0.3287292446607954,-0.05358974593275173,1.08,185.73
5,32,0.31784212252901867,-0.05391431971748882,1.27,267.5
5,33,0.32142896745827854,-0.0404615548454796,1.44,387.93
5,34,0.3287017803882585,-0.008969766305795806,1.57,653.61
5,35,0.32377757624284065,0.3254269608066035,1.62,1499.67
5,36,0.32812668772860465,-0.05109163319243832,1.74,344.31
5,37,0.3266793381263715,-0.045073462725506185,1.93,469.53
5,38,0.328204448274689,-0.04975714422587024,2.12,702.14
5,39,0.3188038873368567,-0.026765248233283186,2.25,1231.57
5,40,0.32217548201949725,0.3223707869621112,2.37,2698.51
5,41,0.3289088952124001,-0.04675237551320968,2.6,581.37
5,42,0.3295301036570749,-0.046985912033212215,2.64,893.03
5,43,0.329464353328988,-0.041997434692882384,3.04,1433.92
5,44,0.32268778121079167,-0.015525770417925168,3.21,2381.52
5,45,0.32545066359346725,0.3267681806210632,3.58,4696.06
5,46,0.3312380918789481,-0.040265798963197395,3.49,967.6
5,47,0.326732504990347,-0.04212985123448421,3.78,1298.97
5,48,0.32915440716065014,-0.046978429240593214,4.12,2037.38
5,49,0.3252703070205628,-0.020827186699363422,4.56,3421.11
5,50,0.3205033332688066,0.32192831999480037,4.75,7554.23
6,12,0.31347859703909,0.31561446962315126,0.12,11.45
6,13,0.3504934775287497,-0.052793065832020994,0.1,5.83
6,14,0.34756799226623625,-0.046187624498081725,0.17,8.61
6,15,0.3431338974014013,-0.05366782939640725,0.15,12.71
6,16,0.339258178037623,-0.03804375022396465,0.19,18.08
6,17,0.3296496226580286,-0.032958779208711805,0.16,31.49
6,18,0.33092113667252504,0.33312254260258145,0.23,66.89
6,19,0.3484473551730812,-0.04384673435552631,0.29,24.75
6,20,0.34162592650511714,-0.045971875058019245,0.26,36.17
