n,m,behaviourU,otherU,behaviourTime,otherTime
4,12,0.001995457573357125,-0.03024677582712667,0.06,10.15
4,13,0.02791007143637426,-0.4569874697528018,0.05,4.33
4,14,0.016978271465682,-0.4486320645298887,0.11,7.91
4,15,0.003054520169264082,-0.46579512696057845,0.13,14.66
4,16,0.0034575727732577134,-0.05168425470307645,0.07,40.21
4,17,0.01232346380775695,-0.4585096001161307,0.1,14.09
4,18,0.004750841941173614,-0.47008586233495825,0.18,23.24
4,19,0.004314692828554332,-0.45952258687974384,0.22,36.75
4,20,5.784096336161577E-4,-0.046284949517154665,0.24,121.56
4,21,0.00653082841321687,-0.4734634494439262,0.14,35.14
4,22,0.00547760221183799,-0.4864600491974144,0.27,51.94
4,23,7.260347120641697E-4,-0.47735358263624783,0.28,87.63
4,24,6.845177226373122E-4,-0.07460988792844987,0.32,282.47
4,25,0.006467357642380286,-0.48634692899608667,0.27,60.63
4,26,0.001952888770314084,-0.4823581092535001,0.35,107.53
4,27,-5.378968348925147E-5,-0.47511422499133293,0.36,170.02
4,28,0.0,-0.06207863424918454,0.46,628.68
4,29,0.0028075032420463663,-0.4888592484592925,0.34,129.89
4,30,0.0023493332085168274,-0.48919821434455146,0.34,203.34
4,31,-2.9124760898481037E-5,-0.48719108349068185,0.47,313.06
4,32,0.0,-0.08356953961092359,0.63,1225.36
4,33,0.0014633430440266259,-0.4827054070018341,0.57,191.38
4,34,0.0,-0.4903282453049874,0.67,265.03
4,35,6.475373556933884E-4,-0.4879020793995748,0.69,495.89
4,36,0.0,-0.10263853749983057,0.77,2128.88
4,37,0.0,-0.4905258518968406,0.62,309.45
4,38,2.3135299039346525E-4,-0.48367342753890663,0.92,500.2
4,39,2.669799718100618E-4,-0.4839937187126818,0.69,928.56
4,40,0.0,-0.11812608018823921,1.0,3772.01
5,10,0.016317443101368276,0.027856815378075887,0.06,4.53
5,11,0.04618152867632856,-0.430013934763162,0.06,2.66
5,12,0.028357394051934773,-0.4542067795733299,0.09,3.99
5,13,0.022595599611265546,-0.4508747851146629,0.06,6.45
5,14,0.011452736826609033,-0.4484490762606565,0.09,9.63
5,15,0.0042671103694834145,0.0025642779871234917,0.08,29.17
5,16,0.028638748542529596,-0.47543032681194874,0.1,11.61
5,17,0.01889936343966931,-0.4565555519191468,0.09,16.34
5,18,0.010599186285920643,-0.4622832198190697,0.15,23.81
5,19,0.002391012829402822,-0.46332881897905087,0.17,35.04
5,20,0.0044216372042649036,0.008621226130308102,0.19,112.15
5,21,0.009686136018170035,-0.47841652356088565,0.17,35.27
5,22,0.012316245230790078,-0.4763522610845445,0.18,46.74
5,23,0.0055062347794425206,-0.47453671733857644,0.24,69.25
5,24,0.0026212305098242007,-0.4724203284047404,0.26,113.92
5,25,8.932610769724392E-4,-0.0024020454081247126,0.32,379.4
5,26,0.008834098071492692,-0.48167854934141474,0.23,70.01
5,27,0.0037335016379201136,-0.4791105818204271,0.25,103.28
5,28,0.004023478377827491,-0.48753687080130814,0.39,149.01
5,29,0.0019694822462332762,-0.47551097429995187,0.46,273.7
5,30,1.7384827964945783E-4,-0.02611276223040299,0.55,921.5
5,31,0.008155108467743019,-0.48479535125939216,0.44,161.81
5,32,0.0025918138299680813,-0.4839938945072142,0.46,200.06
5,33,0.002012205036472664,-0.4874523594671441,0.56,302.53
