#n,m,mnU,localU,mnTime,localTime
3,27,0.39260442652890887,0.3085528397112214,2.12,57.27
3,28,0.4015803682232147,0.30995003569539753,1.87,52.58
3,29,0.3946618465997044,0.30625008758209704,2.22,66.39
3,30,0.39457089919803756,0.30492326863087793,2.73,84.99
4,8,0.3653477097289264,0.30674728972759857,0.66,1.21
4,9,0.40970982362256236,0.325060196017692,0.5,1.86
4,10,0.4003215746333823,0.3174649954752942,0.56,2.25
4,11,0.38812179387098333,0.3157089892876823,0.77,2.8
4,12,0.3795473647853983,0.31666563068654446,0.74,3.12
4,13,0.4096440791933001,0.31051044503148684,0.73,3.35
4,14,0.39468564336190576,0.31629255587478483,0.79,4.74
4,15,0.37857305147981224,0.3163648161533329,0.89,5.94
4,16,0.3770738060684669,0.3112880414850833,1.14,8.39
4,17,0.40144142998440474,0.3101851984492436,0.92,8.74
4,18,0.3836823865702042,0.306784714710904,1.04,11.65
4,19,0.39157639449589965,0.3105358590955276,1.13,15.47
4,20,0.3705549195962527,0.30509535385537145,1.39,20.14
4,21,0.39115913673818203,0.30415989839428204,1.17,18.44
4,22,0.38126440277132045,0.30613233722021804,1.36,23.21
4,23,0.3804103926425047,0.3014812611376021,1.52,30.27
4,24,0.36992775888213425,0.2987106495440139,1.76,37.56
4,25,0.39168465473222186,0.299575895988178,1.32,32.08
4,26,0.38776430364387166,0.30226273195485404,1.6,39.11
4,27,0.38179597603432597,0.2990055026986917,1.85,49.52
4,28,0.36724451636766103,0.2961671833517397,1.95,57.51
4,29,0.3861547793511448,0.30052445644552533,1.71,74.47
4,30,0.3830364595878015,0.2953030956125331,2.01,84.35
4,31,0.373979708566437,0.2961392088215193,2.5,100.34
4,32,0.3724764918789646,0.28932050483414573,2.59,112.65
4,33,0.3842018158524191,0.29412450769696474,2.04,91.24
4,34,0.376395872648128,0.2933526635067116,2.51,115.94
4,35,0.3724968004844684,0.295417793232047,2.65,142.4
4,36,0.36737727163439643,0.2918417310036099,3.15,165.67
4,37,0.3835522990419669,0.2921188705623403,2.85,147.73
4,38,0.3806306290055253,0.28885916988821525,2.76,171.68
4,39,0.37297631729259606,0.2874694001499587,3.29,199.87
4,40,0.3692063232026874,0.28749949766979976,3.76,239.23
5,10,0.36256213667413817,0.29622184284805647,0.65,1.71
5,11,0.40227455811320945,0.31071074796820985,0.54,2.43
5,12,0.41073806562519644,0.3081922477627498,0.63,2.95
5,13,0.3818703742213777,0.3063806664203741,0.74,4.04
5,14,0.36247538143462543,0.30331059783758013,0.8,4.61
5,15,0.35343065352631087,0.30192023366769105,1.24,6.07
5,16,0.40522580349852766,0.3062755165200489,0.71,7.5
5,17,0.38332869434373606,0.29910805763101894,0.78,8.64
5,18,0.37729796521874914,0.30270490817790574,1.08,11.39
5,19,0.3677559284426036,0.3015210191576311,1.12,13.22
5,20,0.3567767874790706,0.2990900256848692,1.39,18.4
5,21,0.39821475214762153,0.29316136227751105,0.97,17.87
5,22,0.37989828583609464,0.29533482492026336,1.29,22.9
5,23,0.3812337513204011,0.29828359251630215,1.36,28.1
5,24,0.36142594138302286,0.2928926833900797,1.53,32.87
5,25,0.358264736166899,0.29623038274382324,1.59,39.98
5,26,0.3951426707426961,0.2948162030413679,1.17,35.79
5,27,0.3918598138148473,0.2928545763867986,1.34,42.91
5,28,0.37475384448724003,0.2921490457328584,1.64,49.83
5,29,0.3580638136854884,0.29169656007943656,1.77,60.7
5,30,0.3586400292892912,0.2907262968016432,1.96,71.13
5,31,0.3884590792842617,0.28795368792600895,1.53,61.28
